Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Medium,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,339,357
Medium,Snow,Sufficient,Delayed,Moderate,Approved,No,Available,330,349
Large,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,171,198
Small,Snow,Sufficient,Delayed,Good,Approved,Yes,Delayed,37,74
Small,Rain,Insufficient,On-time,Bad,Approved,No,Available,154,182
Large,Storm,Sufficient,Delayed,Good,Pending,Yes,Delayed,275,295
Medium,Storm,Insufficient,On-time,Moderate,Approved,No,Delayed,273,302
Medium,Storm,Sufficient,On-time,Good,Approved,No,Available,131,160
Large,Clear,Insufficient,Delayed,Bad,Pending,No,Available,224,268
Medium,Storm,Sufficient,Delayed,Good,Pending,Yes,Available,312,323
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,334,383
Small,Snow,Sufficient,On-time,Good,Approved,No,Delayed,90,119
Large,Snow,Insufficient,On-time,Good,Pending,Yes,Delayed,102,142
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,313,358
Small,Rain,Insufficient,On-time,Good,Approved,No,Available,184,213
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,307,345
Medium,Storm,Sufficient,Delayed,Good,Pending,Yes,Available,330,353
Medium,Snow,Insufficient,On-time,Moderate,Pending,No,Delayed,212,228
Medium,Storm,Sufficient,On-time,Good,Pending,Yes,Delayed,343,377
Small,Rain,Sufficient,On-time,Bad,Approved,No,Available,321,342
Large,Snow,Sufficient,On-time,Good,Approved,Yes,Available,85,119
Large,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,246,274
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,203,222
Large,Rain,Sufficient,On-time,Bad,Approved,No,Available,257,279
Large,Storm,Insufficient,On-time,Good,Approved,No,Available,105,116
Medium,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,349,391
Large,Clear,Sufficient,On-time,Good,Pending,No,Delayed,364,402
Medium,Snow,Insufficient,Delayed,Bad,Approved,Yes,Delayed,185,201
Medium,Snow,Sufficient,Delayed,Moderate,Pending,No,Available,345,370
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,317,331
Small,Rain,Sufficient,On-time,Good,Pending,Yes,Available,318,345
Small,Storm,Insufficient,On-time,Bad,Pending,Yes,Available,324,336
Large,Clear,Sufficient,Delayed,Good,Approved,No,Available,96,143
Large,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,56,101
Small,Storm,Insufficient,On-time,Moderate,Approved,Yes,Available,316,339
Small,Clear,Insufficient,On-time,Bad,Approved,No,Delayed,175,194
Small,Storm,Sufficient,Delayed,Good,Approved,No,Available,251,275
Medium,Clear,Sufficient,On-time,Good,Pending,Yes,Available,345,362
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,316,341
Small,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,74,93
Small,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,159,192
Medium,Storm,Insufficient,On-time,Moderate,Approved,No,Available,338,356
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,294,317
Large,Snow,Sufficient,On-time,Good,Approved,No,Delayed,258,268
Medium,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,66,111
Medium,Storm,Sufficient,Delayed,Good,Pending,Yes,Delayed,186,199
Large,Snow,Insufficient,Delayed,Good,Approved,No,Available,207,220
Medium,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,196,213
Medium,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,169,213
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,281,325
Large,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,79,117
Small,Rain,Insufficient,On-time,Good,Pending,No,Delayed,309,351
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Available,283,327
Large,Snow,Sufficient,Delayed,Moderate,Approved,No,Available,288,305
Large,Storm,Insufficient,Delayed,Moderate,Approved,Yes,Available,248,276
Large,Rain,Sufficient,On-time,Good,Pending,Yes,Available,324,367
Large,Rain,Sufficient,On-time,Good,Pending,Yes,Available,191,228
Small,Clear,Insufficient,Delayed,Moderate,Approved,No,Available,225,269
Large,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,173,188
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,334,354
Large,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,256,273
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,356,392
Small,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,114,157
Medium,Clear,Insufficient,On-time,Moderate,Pending,Yes,Delayed,364,395
Medium,Storm,Sufficient,Delayed,Bad,Approved,No,Delayed,97,126
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,280,307
Large,Storm,Sufficient,On-time,Good,Pending,No,Delayed,30,55
Large,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,242,263
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Available,280,327
Small,Clear,Insufficient,On-time,Good,Pending,Yes,Available,295,344
Medium,Snow,Sufficient,On-time,Good,Approved,No,Delayed,193,214
Large,Storm,Sufficient,Delayed,Moderate,Pending,No,Available,123,140
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,328,341
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Delayed,331,349
Large,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,324,368
Medium,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,353,392
Small,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,59,87
Small,Snow,Insufficient,On-time,Moderate,Approved,No,Available,357,384
Small,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Available,237,272
Large,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,56,93
Large,Snow,Insufficient,Delayed,Good,Pending,No,Delayed,166,190
Large,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,290,310
Medium,Clear,Sufficient,On-time,Bad,Pending,No,Available,232,276
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,110,159
Small,Snow,Insufficient,On-time,Moderate,Pending,Yes,Delayed,284,310
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Available,245,288
Small,Snow,Sufficient,On-time,Moderate,Pending,Yes,Available,215,260
Small,Rain,Insufficient,Delayed,Good,Pending,No,Available,223,259
Large,Storm,Sufficient,On-time,Good,Pending,Yes,Available,169,187
Large,Rain,Sufficient,Delayed,Good,Pending,No,Delayed,83,110
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,285,302
Large,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,35,70
Large,Rain,Sufficient,Delayed,Moderate,Pending,No,Available,220,255
Large,Storm,Sufficient,On-time,Bad,Pending,No,Available,30,79
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Available,350,371
Small,Storm,Insufficient,On-time,Moderate,Pending,No,Available,240,270
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Available,194,226
Small,Rain,Sufficient,On-time,Moderate,Approved,No,Delayed,44,54
Small,Snow,Sufficient,On-time,Good,Pending,No,Delayed,96,109
Medium,Storm,Sufficient,On-time,Good,Approved,Yes,Delayed,91,105
Medium,Storm,Insufficient,Delayed,Bad,Pending,No,Available,72,84
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,71,116
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Available,152,174
Small,Storm,Insufficient,On-time,Bad,Pending,Yes,Delayed,242,277
Small,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,266,294
Medium,Rain,Insufficient,On-time,Good,Approved,Yes,Delayed,207,237
Medium,Rain,Sufficient,Delayed,Good,Pending,No,Available,278,309
Large,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,197,238
Large,Snow,Sufficient,Delayed,Bad,Pending,Yes,Available,73,84
Large,Storm,Sufficient,Delayed,Bad,Approved,No,Available,41,76
Medium,Clear,Sufficient,On-time,Good,Approved,Yes,Available,124,170
Large,Clear,Sufficient,On-time,Bad,Approved,Yes,Available,259,294
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,227,264
Large,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,244,289
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Delayed,286,314
Small,Storm,Sufficient,On-time,Good,Approved,Yes,Delayed,239,259
Medium,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,129,175
Medium,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,52,89
Large,Snow,Sufficient,On-time,Moderate,Approved,No,Available,293,337
Small,Rain,Sufficient,On-time,Good,Pending,Yes,Available,329,372
Large,Snow,Sufficient,On-time,Bad,Approved,Yes,Delayed,347,387
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,249,273
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,40,82
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,192,206
Small,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,109,144
Small,Rain,Insufficient,Delayed,Bad,Approved,Yes,Available,322,333
Small,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,86,98
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,73,104
Medium,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,272,296
Small,Snow,Sufficient,Delayed,Good,Approved,No,Delayed,127,157
Small,Snow,Insufficient,Delayed,Bad,Pending,Yes,Delayed,33,70
Small,Clear,Sufficient,On-time,Good,Approved,No,Delayed,204,225
Small,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Available,352,362
Small,Clear,Sufficient,On-time,Good,Pending,No,Available,54,70
Large,Snow,Insufficient,Delayed,Good,Approved,No,Available,318,366
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,264,279
Small,Rain,Sufficient,Delayed,Bad,Approved,Yes,Available,202,237
Medium,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,65,85
Small,Rain,Insufficient,On-time,Moderate,Approved,Yes,Delayed,304,315
Medium,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,309,358
Large,Snow,Insufficient,Delayed,Good,Approved,No,Delayed,186,226
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,160,170
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Delayed,195,224
Large,Storm,Insufficient,On-time,Good,Pending,No,Available,56,81
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,53,81
Medium,Clear,Sufficient,Delayed,Good,Approved,Yes,Available,102,119
Large,Rain,Sufficient,On-time,Bad,Pending,No,Available,177,198
Large,Rain,Sufficient,Delayed,Bad,Pending,No,Delayed,163,176
Large,Snow,Sufficient,Delayed,Bad,Pending,Yes,Delayed,185,218
Medium,Snow,Insufficient,On-time,Moderate,Approved,No,Available,166,195
Medium,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Available,141,160
Medium,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,253,282
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Delayed,323,335
Medium,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,279,326
Large,Clear,Sufficient,On-time,Good,Approved,No,Available,32,36
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,181,219
Large,Clear,Insufficient,Delayed,Good,Pending,Yes,Available,317,328
Large,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,111,142
Medium,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,36,55
Large,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,232,278
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,83,106
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Delayed,306,325
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Available,162,199
Large,Clear,Insufficient,Delayed,Good,Approved,No,Available,49,92
Small,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,185,195
Medium,Rain,Sufficient,On-time,Bad,Pending,Yes,Delayed,44,77
Small,Snow,Sufficient,On-time,Moderate,Pending,Yes,Available,125,138
Medium,Rain,Sufficient,Delayed,Good,Pending,No,Delayed,351,391
Small,Clear,Sufficient,On-time,Good,Approved,No,Delayed,84,104
Small,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,162,178
Small,Snow,Sufficient,On-time,Moderate,Approved,No,Available,274,301
Medium,Clear,Sufficient,Delayed,Good,Pending,No,Available,324,369
Medium,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,137,185
Small,Rain,Insufficient,On-time,Good,Pending,Yes,Available,243,291
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Delayed,323,350
Small,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,167,197
Medium,Clear,Sufficient,Delayed,Good,Approved,No,Delayed,101,149
Medium,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,181,195
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,61,100
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Available,62,90
Large,Storm,Sufficient,Delayed,Moderate,Approved,No,Delayed,249,263
Large,Storm,Sufficient,On-time,Good,Pending,No,Delayed,100,118
Small,Snow,Sufficient,On-time,Good,Approved,No,Available,83,127
Large,Clear,Insufficient,On-time,Moderate,Pending,No,Available,353,394
Medium,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,130,158
Small,Snow,Sufficient,On-time,Good,Approved,No,Available,194,216
Medium,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,131,178
Small,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,320,358
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,84,94
Medium,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Available,130,140
Medium,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Available,40,55
Medium,Snow,Sufficient,Delayed,Good,Pending,Yes,Delayed,256,283
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Delayed,291,317
Large,Storm,Insufficient,On-time,Moderate,Approved,Yes,Delayed,192,221
Small,Snow,Sufficient,On-time,Moderate,Approved,No,Available,303,328
Medium,Storm,Sufficient,On-time,Good,Approved,No,Delayed,327,347
Small,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,103,142
Medium,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,271,281
Small,Clear,Sufficient,On-time,Bad,Pending,No,Available,216,244
Medium,Rain,Sufficient,Delayed,Moderate,Approved,No,Delayed,68,101
Small,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,95,113
Small,Storm,Insufficient,On-time,Moderate,Pending,No,Delayed,348,390
Large,Rain,Sufficient,On-time,Good,Approved,No,Available,342,385
Small,Rain,Insufficient,On-time,Good,Pending,Yes,Available,63,107
Small,Rain,Sufficient,On-time,Good,Approved,Yes,Available,78,110
Medium,Clear,Insufficient,Delayed,Moderate,Pending,No,Available,53,95
Medium,Snow,Sufficient,On-time,Good,Pending,No,Delayed,77,120
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,288,293
Large,Storm,Sufficient,Delayed,Good,Pending,Yes,Delayed,245,280
Small,Clear,Insufficient,On-time,Good,Approved,No,Available,83,116
Medium,Storm,Sufficient,Delayed,Bad,Pending,No,Available,291,323
Small,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,354,397
Large,Clear,Sufficient,Delayed,Good,Pending,Yes,Delayed,222,257
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,204,218
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,88,106
Small,Rain,Sufficient,On-time,Bad,Pending,Yes,Delayed,67,107
Large,Snow,Sufficient,On-time,Moderate,Approved,No,Delayed,195,221
Large,Clear,Sufficient,On-time,Bad,Pending,No,Delayed,217,250
Large,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,42,67
Medium,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,34,76
Large,Snow,Insufficient,Delayed,Bad,Approved,Yes,Delayed,77,123
Medium,Clear,Insufficient,On-time,Moderate,Approved,No,Available,247,296
Large,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,90,109
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Delayed,140,177
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,313,352
Large,Rain,Sufficient,Delayed,Bad,Approved,No,Delayed,98,146
Large,Storm,Sufficient,On-time,Moderate,Pending,No,Available,350,386
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Available,152,175
Small,Snow,Insufficient,Delayed,Bad,Pending,No,Available,251,261
Medium,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,104,148
Small,Rain,Sufficient,Delayed,Good,Pending,No,Available,57,78
Large,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,351,377
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Available,328,375
Large,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,291,339
Large,Rain,Sufficient,Delayed,Good,Approved,No,Available,73,115
Large,Storm,Sufficient,On-time,Good,Approved,Yes,Available,69,112
Large,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,318,341
Small,Clear,Insufficient,On-time,Moderate,Pending,Yes,Available,354,377
Large,Rain,Sufficient,On-time,Moderate,Pending,No,Available,154,187
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,356,393
Small,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,138,162
Large,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,151,176
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,239,283
Medium,Snow,Sufficient,On-time,Good,Approved,No,Delayed,35,67
Large,Storm,Insufficient,On-time,Bad,Pending,Yes,Available,359,372
Medium,Rain,Sufficient,Delayed,Bad,Approved,No,Available,188,218
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,246,248
Large,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,74,85
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Available,210,222
Large,Clear,Insufficient,Delayed,Good,Pending,No,Available,96,129
Small,Rain,Insufficient,On-time,Moderate,Approved,Yes,Available,304,321
Large,Snow,Sufficient,Delayed,Good,Pending,No,Available,136,148
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Available,257,267
Medium,Rain,Sufficient,On-time,Bad,Pending,No,Available,312,326
Large,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,106,134
Medium,Rain,Insufficient,On-time,Bad,Approved,Yes,Delayed,84,109
Small,Rain,Insufficient,On-time,Bad,Pending,Yes,Delayed,108,137
Large,Rain,Insufficient,Delayed,Good,Pending,No,Delayed,169,204
Large,Rain,Sufficient,Delayed,Moderate,Pending,Yes,Available,103,129
Large,Storm,Insufficient,On-time,Good,Approved,No,Delayed,44,64
Medium,Storm,Insufficient,Delayed,Good,Approved,No,Delayed,70,111
Small,Storm,Sufficient,Delayed,Good,Pending,Yes,Available,60,88
Large,Snow,Insufficient,Delayed,Bad,Pending,Yes,Delayed,316,331
Small,Storm,Insufficient,Delayed,Good,Pending,No,Available,136,158
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,122,153
Medium,Storm,Insufficient,Delayed,Good,Approved,No,Available,237,258
Medium,Rain,Insufficient,On-time,Good,Pending,Yes,Available,244,287
Medium,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,195,205
Small,Storm,Insufficient,On-time,Good,Pending,Yes,Available,352,364
Large,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,275,301
Medium,Clear,Sufficient,Delayed,Good,Pending,No,Available,159,185
Medium,Clear,Insufficient,Delayed,Bad,Pending,No,Available,200,224
Small,Clear,Insufficient,Delayed,Moderate,Approved,No,Available,81,119
Small,Snow,Insufficient,On-time,Good,Approved,Yes,Available,225,272
Medium,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,45,88
Large,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,359,391
Large,Snow,Insufficient,On-time,Bad,Approved,Yes,Available,360,402
Medium,Snow,Insufficient,On-time,Bad,Pending,Yes,Delayed,208,257
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,295,316
Small,Clear,Insufficient,On-time,Good,Pending,No,Delayed,57,84
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,319,352
Large,Snow,Sufficient,Delayed,Moderate,Pending,No,Available,211,229
Large,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,262,285
Medium,Rain,Insufficient,Delayed,Bad,Approved,Yes,Delayed,273,303
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,79,91
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,87,104
Medium,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Available,209,235
Small,Storm,Insufficient,Delayed,Good,Pending,Yes,Available,312,339
Small,Snow,Insufficient,On-time,Good,Pending,No,Delayed,265,293
Large,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,285,327
Large,Snow,Insufficient,On-time,Bad,Pending,Yes,Available,37,74
Small,Clear,Sufficient,Delayed,Good,Pending,Yes,Delayed,63,107
Medium,Clear,Sufficient,On-time,Bad,Pending,No,Available,258,277
Large,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,302,344
Medium,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,244,290
Small,Clear,Sufficient,On-time,Moderate,Pending,No,Available,130,140
Small,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,162,192
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,238,274
Small,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,187,217
Medium,Clear,Sufficient,On-time,Bad,Approved,No,Available,37,41
Small,Rain,Sufficient,On-time,Good,Pending,No,Available,279,302
Medium,Clear,Insufficient,On-time,Bad,Pending,Yes,Available,93,130
Small,Storm,Sufficient,On-time,Bad,Pending,No,Available,160,189
Medium,Rain,Insufficient,Delayed,Bad,Approved,Yes,Delayed,268,293
Medium,Clear,Sufficient,On-time,Bad,Approved,Yes,Delayed,200,239
Small,Rain,Insufficient,On-time,Bad,Approved,No,Delayed,164,193
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,314,324
Small,Storm,Sufficient,On-time,Good,Approved,Yes,Available,254,295
Medium,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,48,59
Medium,Snow,Sufficient,On-time,Bad,Pending,Yes,Available,55,81
Medium,Rain,Sufficient,On-time,Moderate,Approved,No,Available,186,203
Large,Snow,Sufficient,Delayed,Bad,Approved,No,Delayed,297,345
Large,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,269,307
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Available,75,94
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Available,173,193
Medium,Clear,Insufficient,Delayed,Bad,Approved,Yes,Available,51,96
Small,Storm,Insufficient,On-time,Good,Approved,Yes,Available,227,268
Small,Clear,Sufficient,Delayed,Bad,Pending,Yes,Delayed,316,338
Small,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,99,145
Small,Rain,Sufficient,Delayed,Bad,Approved,No,Available,364,388
Medium,Snow,Sufficient,Delayed,Good,Pending,No,Available,349,387
Small,Snow,Sufficient,On-time,Bad,Pending,No,Available,238,257
Large,Snow,Insufficient,Delayed,Good,Pending,No,Available,301,339
Medium,Snow,Sufficient,Delayed,Bad,Approved,Yes,Delayed,359,405
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,48,96
Small,Rain,Insufficient,On-time,Good,Approved,Yes,Available,120,160
Small,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,64,77
Medium,Snow,Sufficient,Delayed,Bad,Pending,No,Available,276,312
Small,Clear,Insufficient,Delayed,Moderate,Pending,No,Delayed,74,87
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,298,342
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,106,120
Small,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,337,384
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,283,311
Small,Snow,Sufficient,On-time,Moderate,Approved,Yes,Delayed,86,121
Small,Clear,Insufficient,On-time,Good,Pending,No,Delayed,165,179
Medium,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,44,86
Medium,Storm,Sufficient,Delayed,Moderate,Pending,No,Available,96,122
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,343,382
Small,Rain,Sufficient,On-time,Good,Pending,Yes,Available,30,72
Small,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,166,187
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,236,266
Small,Storm,Insufficient,On-time,Moderate,Approved,Yes,Delayed,309,350
Large,Clear,Insufficient,Delayed,Bad,Pending,No,Delayed,230,265
Small,Storm,Sufficient,Delayed,Good,Approved,Yes,Delayed,199,236
Large,Snow,Insufficient,Delayed,Good,Approved,No,Available,233,251
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Delayed,141,172
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Available,121,165
Small,Rain,Sufficient,On-time,Moderate,Pending,No,Available,184,204
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Available,35,70
Medium,Storm,Sufficient,Delayed,Good,Pending,No,Delayed,166,180
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,233,230
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,330,364
Medium,Rain,Insufficient,On-time,Good,Approved,No,Delayed,201,225
Large,Clear,Insufficient,On-time,Good,Pending,Yes,Delayed,54,85
Medium,Rain,Sufficient,Delayed,Good,Pending,No,Available,107,138
Medium,Rain,Sufficient,On-time,Good,Approved,Yes,Available,30,56
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Delayed,333,346
Large,Clear,Insufficient,Delayed,Good,Pending,No,Available,173,204
Large,Rain,Sufficient,On-time,Good,Approved,No,Delayed,122,147
Small,Storm,Sufficient,On-time,Good,Approved,No,Delayed,42,66
Medium,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,216,258
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,363,410
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,231,263
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Available,244,265
Large,Snow,Insufficient,Delayed,Good,Pending,No,Available,83,117
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,299,327
Large,Snow,Sufficient,Delayed,Good,Pending,Yes,Available,120,149
Large,Snow,Insufficient,Delayed,Bad,Pending,No,Available,155,170
Small,Snow,Insufficient,Delayed,Moderate,Pending,No,Delayed,225,258
Small,Storm,Insufficient,On-time,Good,Pending,No,Delayed,127,146
Large,Clear,Insufficient,On-time,Bad,Approved,No,Delayed,256,267
Small,Storm,Sufficient,Delayed,Bad,Pending,Yes,Delayed,130,168
Small,Rain,Insufficient,On-time,Moderate,Approved,No,Available,266,298
Small,Rain,Insufficient,Delayed,Moderate,Pending,No,Delayed,271,303
Medium,Storm,Sufficient,Delayed,Good,Approved,No,Available,242,257
Medium,Rain,Sufficient,On-time,Good,Approved,No,Delayed,199,224
Medium,Rain,Sufficient,On-time,Good,Pending,Yes,Available,212,230
Small,Rain,Insufficient,Delayed,Moderate,Pending,No,Available,46,61
Small,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,66,104
